BusinessName,Yelp URL,Google Review Link,Average Rating,Total Ratings,Address
% Arabica,https://www.yelp.com/biz/arabica-brooklyn?osq=coffee,https://www.google.com/search?q=%+Arabica20+Old+Fulton+St+Brooklyn+NY+11201,4.3,232,"20 Old Fulton St, Brooklyn, NY 11201","% Arabica
20 Old Fulton St
12 Corners,https://www.yelp.com/biz/12-corners-new-york-4?osq=cafe,https://www.google.com/search?q=12+Corners121+Mott+St+New+York+NY+10013,4.3,158,"121 Mott St, New York, NY 10013","12 Corners
121 Mott St
New York, NY 10013"
NowHere,https://www.yelp.com/biz/nowhere-manhattan?osq=cafe,https://www.google.com/search?q=NowHereN/A,4.5,2,N/A,"NowHere
40 Wooster St
Manhattan, NY 10013</span></p></address"
Peckish,https://www.yelp.com/biz/peckish-brooklyn-3?osq=cafe,https://www.google.com/search?q=Peckish49+Willoughby+Ave+Brooklyn+NY+11205,4.1,21,"49 Willoughby Ave, Brooklyn, NY 11205","Peckish
49 Willoughby Ave
Brooklyn, NY 11205"
Pi Bakerie,https://www.yelp.com/biz/pi-bakerie-new-york-3?osq=cafe,https://www.google.com/search?q=Pi+Bakerie35+Cedar+St+New+York+NY+10005,4.4,58,"35 Cedar St, New York, NY 10005","Pi Bakerie
35 Cedar St
New York, NY 10005"
White Noise Coffee Co,https://www.yelp.com/biz/white-noise-coffee-co-brooklyn?osq=cafe,https://www.google.com/search?q=White+Noise+Coffee+Co57+Smith+St+Brooklyn+NY+11201,4.2,152,"57 Smith St, Brooklyn, NY 11201","White Noise Coffee Co
57 Smith St
Brooklyn, NY 11201"
Royal Coffee House,https://www.yelp.com/biz/royal-coffee-house-staten-island?osq=cafe,https://www.google.com/search?q=Royal+Coffee+HouseN/A,5.0,1,N/A,"Royal Coffee House
4852 Arthur Kill Rd
Brooklyn, NY 11201"
Parlor Coffee,https://www.yelp.com/biz/parlor-coffee-brooklyn-2?osq=cafe,https://www.google.com/search?q=Parlor+Coffee11+Vanderbilt+Ave+Brooklyn+NY+11205,4.4,18,"11 Vanderbilt Ave, Brooklyn, NY 11205","Parlor Coffee
11 Vanderbilt Ave
Brooklyn, NY 11205"
Sunday to Sunday,https://www.yelp.com/biz/sunday-to-sunday-new-york-2?osq=cafe,https://www.google.com/search?q=Sunday+to+Sunday88+Orchard+St+New+York+NY+10002,4.0,95,"88 Orchard St, New York, NY 10002","Sunday to Sunday
88 Orchard St
New York, NY 10002"
Nili,https://www.yelp.com/biz/nili-brooklyn?osq=cafe,https://www.google.com/search?q=Nili360+Smith+St+Brooklyn+NY+11231,4.2,39,"360 Smith St, Brooklyn, NY 11231","Nili
360 Smith St
Brooklyn, NY 11231"
Brooklyn Roasting Company,https://www.yelp.com/biz/brooklyn-roasting-company-brooklyn-3?osq=cafe,https://www.google.com/search?q=Brooklyn+Roasting+CompanyN/A,3.5,93,N/A,"Brooklyn Roasting Company
200 Flushing Ave
Brooklyn, NY 11231"
ACRE,https://www.yelp.com/biz/acre-brooklyn?osq=cafe,https://www.google.com/search?q=ACRE64+Meserole+Ave+Brooklyn+NY+11222,4.6,118,"64 Meserole Ave, Brooklyn, NY 11222","ACRE
64 Meserole Ave
Brooklyn, NY 11222"
Cafe Patoro,https://www.yelp.com/biz/cafe-patoro-new-york?osq=cafe,https://www.google.com/search?q=Cafe+Patoro223+Front+St+New+York+NY+10038,4.5,225,"223 Front St, New York, NY 10038","Cafe Patoro
223 Front St
New York, NY 10038"
Champers Social Club,https://www.yelp.com/biz/champers-social-club-new-york?osq=cafe,https://www.google.com/search?q=Champers+Social+Club39+1/2+Crosby+St+New+York+NY+10012,4.4,32,"39 1/2 Crosby St, New York, NY 10012","Champers Social Club
39 1/2 Crosby St
New York, NY 10012"
Liz&#x27;s Place,https://www.yelp.com/biz/lizs-place-new-york?osq=cafe,https://www.google.com/search?q=Liz&#x27;s+PlaceN/A,4.0,7,N/A,"Liz&#x27;s Place
607 W 116th St
Fl 1</span></p><p class="" css-1sb02f4"" "
Knock Knock,https://www.yelp.com/biz/knock-knock-long-island-city?osq=cafe,https://www.google.com/search?q=Knock+KnockN/A,4.4,62,N/A,"Knock Knock
42-44 Crescent St
Long Island City, NY 11101</span></p></"
Odd Fox Coffee,https://www.yelp.com/biz/odd-fox-coffee-brooklyn?osq=cafe,https://www.google.com/search?q=Odd+Fox+Coffee984+Manhattan+Ave+Brooklyn+NY+11222,4.2,79,"984 Manhattan Ave, Brooklyn, NY 11222","Odd Fox Coffee
984 Manhattan Ave
Brooklyn, NY 11222"
Café Kitsuné,https://www.yelp.com/biz/caf%C3%A9-kitsun%C3%A9-brooklyn?osq=cafe,https://www.google.com/search?q=Café+Kitsuné112+Bond+St+Brooklyn+NY+11217,3.2,29,"112 Bond St, Brooklyn, NY 11217","Café Kitsuné
112 Bond St
Brooklyn, NY 11217"
GOAT Cafe,https://www.yelp.com/biz/goat-cafe-new-york?osq=cafe,https://www.google.com/search?q=GOAT+CafeN/A,4.2,6,N/A,"GOAT Cafe
124 E 14th St
Urbanspace Union Square</span></p><p cl"
Kuih Cafe,https://www.yelp.com/biz/kuih-cafe-new-york?osq=cafe,https://www.google.com/search?q=Kuih+Cafe46+Eldridge+St+New+York+NY+10002,4.7,83,"46 Eldridge St, New York, NY 10002","Kuih Cafe
46 Eldridge St
New York, NY 10002"
Bambina Blue,https://www.yelp.com/biz/bambina-blue-new-york?osq=cafe,https://www.google.com/search?q=Bambina+Blue23+Cleveland+Pl+New+York+NY+10012,4.6,93,"23 Cleveland Pl, New York, NY 10012","Bambina Blue
23 Cleveland Pl
New York, NY 10012"
The Grey Dog - Union Square,https://www.yelp.com/biz/the-grey-dog-union-square-new-york?osq=cafe,https://www.google.com/search?q=The+Grey+Dog+-+Union+Square90+University+Pl+New+York+NY+10003,3.9,N/A,"90 University Pl, New York, NY 10003","The Grey Dog - Union Square
90 University Pl
New York, NY 10003"
Baba Cool,https://www.yelp.com/biz/baba-cool-brooklyn?osq=cafe,https://www.google.com/search?q=Baba+CoolN/A,3.9,244,N/A,"Baba Cool
64 Lafayette Ave
Ste B</span></p><p class="" css-1sb02f4"""
Sip N&#x27; Play,https://www.yelp.com/biz/sip-n-play-brooklyn?osq=cafe,https://www.google.com/search?q=Sip+N&#x27;+Play471+5th+Ave+Brooklyn+NY+11228,4.6,81,"471 5th Ave, Brooklyn, NY 11228","Sip N&#x27; Play
471 5th Ave
Brooklyn, NY 11228"
Tadaima,https://www.yelp.com/biz/tadaima-brooklyn?osq=cafe,https://www.google.com/search?q=TadaimaN/A,4.7,35,N/A,"Tadaima
67  35th St
Bldg 5, Fl 2</span></p><p class="" css-1"
Fellini Coffee,https://www.yelp.com/biz/fellini-coffee-new-york?osq=cafe,https://www.google.com/search?q=Fellini+Coffee174+7th+Ave+S+New+York+NY+10014,4.2,13,"174 7th Ave S, New York, NY 10014","Fellini Coffee
174 7th Ave S
New York, NY 10014"
Julien Boulangerie,https://www.yelp.com/biz/julien-boulangerie-brooklyn?osq=cafe,https://www.google.com/search?q=Julien+Boulangerie186+5th+Ave+Brooklyn+NY+11217,4.3,67,"186 5th Ave, Brooklyn, NY 11217","Julien Boulangerie
186 5th Ave
Brooklyn, NY 11217"
Maman,https://www.yelp.com/biz/maman-new-york-38?osq=cafe,https://www.google.com/search?q=Maman667+Lexington+Ave+New+York+NY+10022,4.0,40,"667 Lexington Ave, New York, NY 10022","Maman
667 Lexington Ave
New York, NY 10022"
Drama Book Shop,https://www.yelp.com/biz/drama-book-shop-new-york-8?osq=cafe,https://www.google.com/search?q=Drama+Book+Shop266+W+39th+St+New+York+NY+10018,4.9,39,"266 W 39th St, New York, NY 10018","Drama Book Shop
266 W 39th St
New York, NY 10018"
Stumptown Coffee Roasters,https://www.yelp.com/biz/stumptown-coffee-roasters-new-york-2?osq=cafe,https://www.google.com/search?q=Stumptown+Coffee+Roasters30+W+8th+St+New+York+NY+10011,4.1,480,"30 W 8th St, New York, NY 10011","Stumptown Coffee Roasters
30 W 8th St
New York, NY 10011"
Espresso Me,https://www.yelp.com/biz/espresso-me-brooklyn-3?osq=cafe,https://www.google.com/search?q=Espresso+Me88+Atlantic+Ave+Brooklyn+NY+11201,4.3,67,"88 Atlantic Ave, Brooklyn, NY 11201","Espresso Me
88 Atlantic Ave
Brooklyn, NY 11201"
Patis,https://www.yelp.com/biz/patis-new-york?osq=cafe,https://www.google.com/search?q=Patis2178+Broadway+New+York+NY+10024,4.2,16,"2178 Broadway, New York, NY 10024","Patis
2178 Broadway
New York, NY 10024"
Maman,https://www.yelp.com/biz/maman-new-york-42?osq=cafe,https://www.google.com/search?q=Maman230+Park+Ave+New+York+NY+10169,4.3,9,"230 Park Ave, New York, NY 10169","Maman
230 Park Ave
New York, NY 10169"
Ashbox,https://www.yelp.com/biz/ashbox-brooklyn?osq=cafe,https://www.google.com/search?q=Ashbox1154+Manhattan+Ave+Brooklyn+NY+11222,4.4,149,"1154 Manhattan Ave, Brooklyn, NY 11222","Ashbox
1154 Manhattan Ave
Brooklyn, NY 11222"
Roam Cafe &amp; Gallery,https://www.yelp.com/biz/roam-cafe-and-gallery-long-island-city?osq=cafe,https://www.google.com/search?q=Roam+Cafe+&amp;+GalleryN/A,4.4,80,N/A,"Roam Cafe &amp; Gallery
41-14 27th St
Long Island City, NY 11101</span></p></"
Butter Dose,https://www.yelp.com/biz/butter-dose-new-york-2?osq=cafe,https://www.google.com/search?q=Butter+Dose236+E+13th+St+New+York+NY+10003,4.1,81,"236 E 13th St, New York, NY 10003","Butter Dose
236 E 13th St
New York, NY 10003"
Pasticceria Rocco,https://www.yelp.com/biz/pasticceria-rocco-new-york?osq=cafe,https://www.google.com/search?q=Pasticceria+Rocco243+Bleecker+St+New+York+NY+10014,3.8,N/A,"243 Bleecker St, New York, NY 10014","Pasticceria Rocco
243 Bleecker St
New York, NY 10014"
Hekate Café &amp; Elixir Lounge,https://www.yelp.com/biz/hekate-caf%C3%A9-and-elixir-lounge-new-york?osq=cafe,https://www.google.com/search?q=Hekate+Café+&amp;+Elixir+Lounge167+Avenue+B+New+York+NY+10009,4.3,15,"167 Avenue B, New York, NY 10009","Hekate Café &amp; Elixir Lounge
167 Avenue B
New York, NY 10009"
Gotham Coffee Roasters,https://www.yelp.com/biz/gotham-coffee-roasters-new-york?osq=cafe,https://www.google.com/search?q=Gotham+Coffee+Roasters23+W+19th+St+New+York+NY+10011,4.3,99,"23 W 19th St, New York, NY 10011","Gotham Coffee Roasters
23 W 19th St
New York, NY 10011"
Early,https://www.yelp.com/biz/early-brooklyn?osq=cafe,https://www.google.com/search?q=Early967+Manhattan+Ave+Brooklyn+NY+11222,4.4,122,"967 Manhattan Ave, Brooklyn, NY 11222","Early
967 Manhattan Ave
Brooklyn, NY 11222"
Zibetto Espresso Bar,https://www.yelp.com/biz/zibetto-espresso-bar-new-york?osq=cafe,https://www.google.com/search?q=Zibetto+Espresso+Bar1385+6th+Ave+New+York+NY+10019,4.3,531,"1385 6th Ave, New York, NY 10019","Zibetto Espresso Bar
1385 6th Ave
New York, NY 10019"
Xing Fu Tang,https://www.yelp.com/biz/xing-fu-tang-new-york?osq=boba,https://www.google.com/search?q=Xing+Fu+Tang133+2nd+Ave+New+York+NY+10003,4.3,309,"133 2nd Ave, New York, NY 10003","Xing Fu Tang
133 2nd Ave
New York, NY 10003"
Wanpo Tea Shop,https://www.yelp.com/biz/wanpo-tea-shop-new-york-3?osq=boba,https://www.google.com/search?q=Wanpo+Tea+Shop37+E+8th+St+New+York+NY+10003,4.3,77,"37 E 8th St, New York, NY 10003","Wanpo Tea Shop
37 E 8th St
New York, NY 10003"
Alimama,https://www.yelp.com/biz/alimama-new-york-3?osq=boba,https://www.google.com/search?q=Alimama89A+Bayard+St+New+York+NY+10013,4.4,N/A,"89A Bayard St, New York, NY 10013","Alimama
89A Bayard St
New York, NY 10013"
Lazy Sundaes,https://www.yelp.com/biz/lazy-sundaes-brooklyn?osq=boba,https://www.google.com/search?q=Lazy+Sundaes170+Front+St+Brooklyn+NY+11201,4.4,27,"170 Front St, Brooklyn, NY 11201","Lazy Sundaes
170 Front St
Brooklyn, NY 11201"
Chun Yang Tea,https://www.yelp.com/biz/chun-yang-tea-new-york?osq=boba,https://www.google.com/search?q=Chun+Yang+Tea26B+Elizabeth+St+New+York+NY+10013,4.3,146,"26B Elizabeth St, New York, NY 10013","Chun Yang Tea
26B Elizabeth St
New York, NY 10013"
Miss Du’s Tea Shop,https://www.yelp.com/biz/miss-du-s-tea-shop-new-york?osq=boba,https://www.google.com/search?q=Miss+Du’s+Tea+Shop33+Pell+St+New+York+NY+10013,4.4,155,"33 Pell St, New York, NY 10013","Miss Du’s Tea Shop
33 Pell St
New York, NY 10013"
Truedan,https://www.yelp.com/biz/truedan-new-york-3?osq=boba,https://www.google.com/search?q=Truedan208+Grand+St+New+York+NY+10013,4.4,134,"208 Grand St, New York, NY 10013","Truedan
208 Grand St
New York, NY 10013"
Nippon Cha,https://www.yelp.com/biz/nippon-cha-brooklyn-2?osq=boba,https://www.google.com/search?q=Nippon+ChaN/A,4.6,74,N/A,"Nippon Cha
214 Bedford Ave
Fl 1</span></p><p class="" css-1sb02f4"" "
MooMooChaa,https://www.yelp.com/biz/moomoochaa-new-york-3?osq=boba,https://www.google.com/search?q=MooMooChaa227+E+14th+St+New+York+NY+10003,4.3,273,"227 E 14th St, New York, NY 10003","MooMooChaa
227 E 14th St
New York, NY 10003"
I’Milky - Williamsburg,https://www.yelp.com/biz/i-milky-williamsburg-brooklyn-2?osq=boba,https://www.google.com/search?q=I’Milky+-+Williamsburg142+N+6th+St+Brooklyn+NY+11249,4.5,64,"142 N 6th St, Brooklyn, NY 11249","I’Milky - Williamsburg
142 N 6th St
Brooklyn, NY 11249"
Mi Tea,https://www.yelp.com/biz/mi-tea-new-york-4?osq=boba,https://www.google.com/search?q=Mi+Tea101+MacDougal+St+New+York+NY+10012,4.7,179,"101 MacDougal St, New York, NY 10012","Mi Tea
101 MacDougal St
New York, NY 10012"
Möge Tee,https://www.yelp.com/biz/m%C3%B6ge-tee-brooklyn-8?osq=boba,https://www.google.com/search?q=Möge+Tee76+N+4th+Street+Brooklyn+NY+11249,4.3,24,"76 N 4th Street, Brooklyn, NY 11249","Möge Tee
76 N 4th Street
Brooklyn, NY 11249"
Chun Yang Tea,https://www.yelp.com/biz/chun-yang-tea-new-york?osq=boba,https://www.google.com/search?q=Chun+Yang+Tea26B+Elizabeth+St+New+York+NY+10013,4.3,146,"26B Elizabeth St, New York, NY 10013","Chun Yang Tea
26B Elizabeth St
New York, NY 10013"
Mudflow Tea House,https://www.yelp.com/biz/mudflow-tea-house-brooklyn?osq=boba,https://www.google.com/search?q=Mudflow+Tea+HouseN/A,4.2,103,N/A,"Mudflow Tea House
5602 8th Ave
Sidedoor</span></p><p class="" css-1sb02"
Sweet Moment,https://www.yelp.com/biz/sweet-moment-new-york?osq=boba,https://www.google.com/search?q=Sweet+Moment106+Mott+St+New+York+NY+10013,4.3,N/A,"106 Mott St, New York, NY 10013","Sweet Moment
106 Mott St
New York, NY 10013"
Teazzi Tea Shop,https://www.yelp.com/biz/teazzi-tea-shop-new-york?osq=boba,https://www.google.com/search?q=Teazzi+Tea+ShopN/A,4.2,192,N/A,"Teazzi Tea Shop
47 W 14th St
Ste 3</span></p><p class="" css-1sb02f4"""
Jooy Tea Shoppe,https://www.yelp.com/biz/jooy-tea-shoppe-new-york-6?osq=boba,https://www.google.com/search?q=Jooy+Tea+Shoppe7+E+14th+St+New+York+NY+10003,4.7,16,"7 E 14th St, New York, NY 10003","Jooy Tea Shoppe
7 E 14th St
New York, NY 10003"
Lazy Sundaes,https://www.yelp.com/biz/lazy-sundaes-new-york-4?osq=boba,https://www.google.com/search?q=Lazy+Sundaes265+Canal+St+New+York+NY+10013,4.3,136,"265 Canal St, New York, NY 10013","Lazy Sundaes
265 Canal St
New York, NY 10013"
Lazy Sundaes,https://www.yelp.com/biz/lazy-sundaes-new-york-6?osq=boba,https://www.google.com/search?q=Lazy+Sundaes23+Clinton+St+New+York+NY+10002,4.5,66,"23 Clinton St, New York, NY 10002","Lazy Sundaes
23 Clinton St
New York, NY 10002"
Chihiro Tea,https://www.yelp.com/biz/chihiro-tea-new-york?osq=boba,https://www.google.com/search?q=Chihiro+Tea552+LaGuardia+Pl+New+York+NY+10012,4.3,27,"552 LaGuardia Pl, New York, NY 10012","Chihiro Tea
552 LaGuardia Pl
New York, NY 10012"
Truedan,https://www.yelp.com/biz/truedan-new-york-3?osq=boba,https://www.google.com/search?q=Truedan208+Grand+St+New+York+NY+10013,4.4,134,"208 Grand St, New York, NY 10013","Truedan
208 Grand St
New York, NY 10013"
Debutea,https://www.yelp.com/biz/debutea-new-york?osq=boba,https://www.google.com/search?q=Debutea217+Thompson+St+New+York+NY+10012,4.2,296,"217 Thompson St, New York, NY 10012","Debutea
217 Thompson St
New York, NY 10012"
Chun Yang Tea Tribeca,https://www.yelp.com/biz/chun-yang-tea-tribeca-new-york?osq=boba,https://www.google.com/search?q=Chun+Yang+Tea+Tribeca107A+Chambers+St+New+York+NY+10007,4.8,37,"107A Chambers St, New York, NY 10007","Chun Yang Tea Tribeca
107A Chambers St
New York, NY 10007"
Dragon Tea,https://www.yelp.com/biz/dragon-tea-new-york-3?osq=boba,https://www.google.com/search?q=Dragon+Tea106+Greenwich+St+New+York+NY+10006,4.3,159,"106 Greenwich St, New York, NY 10006","Dragon Tea
106 Greenwich St
New York, NY 10006"
Debutea - Brooklyn,https://www.yelp.com/biz/debutea-brooklyn-brooklyn-2?osq=boba,https://www.google.com/search?q=Debutea+-+Brooklyn71+Smith+St+Brooklyn+NY+11201,4.5,116,"71 Smith St, Brooklyn, NY 11201","Debutea - Brooklyn
71 Smith St
Brooklyn, NY 11201"
OJBK Tea Shop,https://www.yelp.com/biz/ojbk-tea-shop-brooklyn-2?osq=boba,https://www.google.com/search?q=OJBK+Tea+Shop525+Myrtle+Ave+Brooklyn+NY+11205,4.4,34,"525 Myrtle Ave, Brooklyn, NY 11205","OJBK Tea Shop
525 Myrtle Ave
Brooklyn, NY 11205"
JOOY Tea Shoppe,https://www.yelp.com/biz/jooy-tea-shoppe-new-york?osq=boba,https://www.google.com/search?q=JOOY+Tea+Shoppe653+9th+Ave+New+York+NY+10036,4.4,118,"653 9th Ave, New York, NY 10036","JOOY Tea Shoppe
653 9th Ave
New York, NY 10036"
Little Uluh,https://www.yelp.com/biz/little-uluh-new-york?osq=boba,https://www.google.com/search?q=Little+Uluh218+E+14th+St+New+York+NY+10003,3.2,14,"218 E 14th St, New York, NY 10003","Little Uluh
218 E 14th St
New York, NY 10003"
TBaar - Times Square,https://www.yelp.com/biz/tbaar-times-square-new-york?osq=boba,https://www.google.com/search?q=TBaar+-+Times+Square315+W+46th+St+New+York+NY+10036,4.2,12,"315 W 46th St, New York, NY 10036","TBaar - Times Square
315 W 46th St
New York, NY 10036"
FIFTYLAN Union Square,https://www.yelp.com/biz/fiftylan-union-square-new-york-3?osq=boba,https://www.google.com/search?q=FIFTYLAN+Union+Square32+Union+Square+E+New+York+NY+10003,4.1,115,"32 Union Square E, New York, NY 10003","FIFTYLAN Union Square
32 Union Square E
New York, NY 10003"
Surreal Creamery,https://www.yelp.com/biz/surreal-creamery-new-york-3?osq=boba,https://www.google.com/search?q=Surreal+Creamery126+MacDougal+St+New+York+NY+10012,4.3,187,"126 MacDougal St, New York, NY 10012","Surreal Creamery
126 MacDougal St
New York, NY 10012"
I’Milky,https://www.yelp.com/biz/i-milky-new-york?osq=boba,https://www.google.com/search?q=I’Milky992+6th+Ave+New+York+NY+10018,4.2,415,"992 6th Ave, New York, NY 10018","I’Milky
992 6th Ave
New York, NY 10018"
Miss Du’s Tea Shop,https://www.yelp.com/biz/miss-du-s-tea-shop-new-york-3?osq=boba,https://www.google.com/search?q=Miss+Du’s+Tea+Shop741+Broadway+New+York+NY+10003,4.3,9,"741 Broadway, New York, NY 10003","Miss Du’s Tea Shop
741 Broadway
New York, NY 10003"
Kitsby,https://www.yelp.com/biz/kitsby-brooklyn-4?osq=boba,https://www.google.com/search?q=Kitsby186+Grand+St+Brooklyn+NY+11211,4.3,335,"186 Grand St, Brooklyn, NY 11211","Kitsby
186 Grand St
Brooklyn, NY 11211"
Xing Fu Tang,https://www.yelp.com/biz/xing-fu-tang-flushing?osq=boba,https://www.google.com/search?q=Xing+Fu+Tang40-52+Main+St+Flushing+NY+11345,4.2,502,"40-52 Main St, Flushing, NY 11345","Xing Fu Tang
40-52 Main St
Flushing, NY 11345"
Tbaar Park Slope,https://www.yelp.com/biz/tbaar-park-slope-brooklyn?osq=boba,https://www.google.com/search?q=Tbaar+Park+Slope155+5th+Ave+Brooklyn+NY+11217,4.3,21,"155 5th Ave, Brooklyn, NY 11217","Tbaar Park Slope
155 5th Ave
Brooklyn, NY 11217"
Lazy Sundaes,https://www.yelp.com/biz/lazy-sundaes-new-york-7?osq=boba,https://www.google.com/search?q=Lazy+Sundaes11+Waverly+Pl+New+York+NY+10003,4.3,73,"11 Waverly Pl, New York, NY 10003","Lazy Sundaes
11 Waverly Pl
New York, NY 10003"
Biao Sugar,https://www.yelp.com/biz/biao-sugar-new-york?osq=boba,https://www.google.com/search?q=Biao+Sugar1271+Broadway+New+York+NY+10001,3.9,411,"1271 Broadway, New York, NY 10001","Biao Sugar
1271 Broadway
New York, NY 10001"
I&#x27;Milky - Chinatown,https://www.yelp.com/biz/imilky-chinatown-new-york-4?osq=boba,https://www.google.com/search?q=I&#x27;Milky+-+Chinatown242+Grand+St+New+York+NY+10002,4.5,62,"242 Grand St, New York, NY 10002","I&#x27;Milky - Chinatown
242 Grand St
New York, NY 10002"
Sweetea,https://www.yelp.com/biz/sweetea-new-york?osq=boba,https://www.google.com/search?q=Sweetea28+E+33rd+St+New+York+NY+10016,4.7,35,"28 E 33rd St, New York, NY 10016","Sweetea
28 E 33rd St
New York, NY 10016"
Moge Tee,https://www.yelp.com/biz/moge-tee-brooklyn-6?osq=boba,https://www.google.com/search?q=Moge+Tee140+Lawrence+Street+Brooklyn+NY+11201,4.0,37,"140 Lawrence Street, Brooklyn, NY 11201","Moge Tee
140 Lawrence Street
Brooklyn, NY 11201"
Milu,https://www.yelp.com/biz/milu-new-york-2?osq=boba,https://www.google.com/search?q=Milu333+Park+Ave+S+New+York+NY+10010,4.4,215,"333 Park Ave S, New York, NY 10010","Milu
333 Park Ave S
New York, NY 10010"
Initial Tea,https://www.yelp.com/biz/initial-tea-brooklyn-3?osq=boba,https://www.google.com/search?q=Initial+Tea467+Dekalb+Ave+Brooklyn+NY+11205,4.7,67,"467 Dekalb Ave, Brooklyn, NY 11205","Initial Tea
467 Dekalb Ave
Brooklyn, NY 11205"
Grace Street,https://www.yelp.com/biz/grace-street-new-york?osq=boba,https://www.google.com/search?q=Grace+Street17+W+32nd+St+New+York+NY+10001,4.2,N/A,"17 W 32nd St, New York, NY 10001","Grace Street
17 W 32nd St
New York, NY 10001"
Oops Tea,https://www.yelp.com/biz/oops-tea-new-york?osq=boba,https://www.google.com/search?q=Oops+Tea344+Knickerbocker+Ave+New+York+NY+11237,4.3,10,"344 Knickerbocker Ave, New York, NY 11237","Oops Tea
344 Knickerbocker Ave
New York, NY 11237"
Bibble &amp; Sip,https://www.yelp.com/biz/bibble-and-sip-new-york-2?osq=boba,https://www.google.com/search?q=Bibble+&amp;+Sip253+W+51st+St+New+York+NY+10019,4.4,N/A,"253 W 51st St, New York, NY 10019","Bibble &amp; Sip
253 W 51st St
New York, NY 10019"
Boba Guys - Soho,https://www.yelp.com/biz/boba-guys-soho-new-york-2?osq=boba,https://www.google.com/search?q=Boba+Guys+-+Soho145+Greene+St+New+York+NY+10012,3.6,71,"145 Greene St, New York, NY 10012","Boba Guys - Soho
145 Greene St
New York, NY 10012"
Spot Dessert Bar,https://www.yelp.com/biz/spot-dessert-bar-new-york-2?osq=boba,https://www.google.com/search?q=Spot+Dessert+Bar13+St+Marks+Pl+New+York+NY+10003,4.2,N/A,"13 St Marks Pl, New York, NY 10003","Spot Dessert Bar
13 St Marks Pl
New York, NY 10003"
Rice To Riches,https://www.yelp.com/biz/rice-to-riches-new-york?osq=boba,https://www.google.com/search?q=Rice+To+Riches37+Spring+St+New+York+NY+10012,4.1,N/A,"37 Spring St, New York, NY 10012","Rice To Riches
37 Spring St
New York, NY 10012"
Sweet House Drinks and Desserts,https://www.yelp.com/biz/sweet-house-drinks-and-desserts-new-york?osq=boba,https://www.google.com/search?q=Sweet+House+Drinks+and+Desserts67+Bayard+St+New+York+NY+10013,3.9,95,"67 Bayard St, New York, NY 10013","Sweet House Drinks and Desserts
67 Bayard St
New York, NY 10013"
Fuel Fever,https://www.yelp.com/biz/fuel-fever-brooklyn-2?osq=boba,https://www.google.com/search?q=Fuel+Fever52+Jay+St+Brooklyn+NY+11214,4.6,9,"52 Jay St, Brooklyn, NY 11214","Fuel Fever
52 Jay St
Brooklyn, NY 11214"
Gong Cha,https://www.yelp.com/biz/gong-cha-brooklyn?osq=boba,https://www.google.com/search?q=Gong+Cha136+Willoughby+St+Brooklyn+NY+11201,4.1,65,"136 Willoughby St, Brooklyn, NY 11201","Gong Cha
136 Willoughby St
Brooklyn, NY 11201"
Chun Yang Tea,https://www.yelp.com/biz/chun-yang-tea-long-island-city?osq=boba,https://www.google.com/search?q=Chun+Yang+TeaN/A,4.3,47,N/A,"Chun Yang Tea
49-10 Vernon Blvd
Long Island City, NY 11101</span></p></"
Modern Tea Shop,https://www.yelp.com/biz/modern-tea-shop-new-york-4?osq=boba,https://www.google.com/search?q=Modern+Tea+Shop300+W+49th+St+New+York+NY+10019,4.4,154,"300 W 49th St, New York, NY 10019","Modern Tea Shop
300 W 49th St
New York, NY 10019"
FIFTYLAN Koreatown,https://www.yelp.com/biz/fiftylan-koreatown-new-york-5?osq=boba,https://www.google.com/search?q=FIFTYLAN+Koreatown875+Sixth+Ave+New+York+NY+10001,4.5,75,"875 Sixth Ave, New York, NY 10001","FIFTYLAN Koreatown
875 Sixth Ave
New York, NY 10001"
Tiger Sugar,https://www.yelp.com/biz/tiger-sugar-new-york-9?osq=boba,https://www.google.com/search?q=Tiger+Sugar197+Canal+St+New+York+NY+10013,4.2,558,"197 Canal St, New York, NY 10013","Tiger Sugar
197 Canal St
New York, NY 10013"
ViVi Bubble Tea,https://www.yelp.com/biz/vivi-bubble-tea-new-york-6?osq=boba,https://www.google.com/search?q=ViVi+Bubble+Tea49+Bayard+St+New+York+NY+10013,3.8,676,"49 Bayard St, New York, NY 10013","ViVi Bubble Tea
49 Bayard St
New York, NY 10013"
Tea Art,https://www.yelp.com/biz/tea-art-new-york?osq=boba,https://www.google.com/search?q=Tea+Art147+Sullivan+St+New+York+NY+10012,5.0,11,"147 Sullivan St, New York, NY 10012","Tea Art
147 Sullivan St
New York, NY 10012"
Very Fresh Noodles,https://www.yelp.com/biz/very-fresh-noodles-new-york?osq=boba,https://www.google.com/search?q=Very+Fresh+Noodles409+W+15th+St+New+York+NY+10011,4.4,N/A,"409 W 15th St, New York, NY 10011","Very Fresh Noodles
409 W 15th St
New York, NY 10011"
Hawa Smoothies &amp; Bubble Tea,https://www.yelp.com/biz/hawa-smoothies-and-bubble-tea-brooklyn-4?osq=boba,https://www.google.com/search?q=Hawa+Smoothies+&amp;+Bubble+Tea44+Willoughby+St+Brooklyn+NY+11201,4.4,91,"44 Willoughby St, Brooklyn, NY 11201","Hawa Smoothies &amp; Bubble Tea
44 Willoughby St
Brooklyn, NY 11201"
One Zo,https://www.yelp.com/biz/one-zo-long-island-city?osq=boba,https://www.google.com/search?q=One+ZoN/A,4.4,33,N/A,"One Zo
4215 Crescent St
Long Island City, NY 11101</span></p></"
